id,name,details_url,other_img_url,sculptor,year,country,location,original,skip,servant_partner
198,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-40/,,"Palacias, Eloy",1904,Venezuela,Maracaibo,"Cartagena, Colombia",False,2
16,Alava  Miguel Ricardo de,https://equestrianstatue.org/alava-miguel-ricardo-de/,,"Borras, Gabriel",1917,Spain,Vitoria-Gasteiz,,False,2
19,Albert I,https://equestrianstatue.org/albert-i-5/,,"Leplae, Charles",1964,Belgium,Liège,,False,2
23,Albert I,https://equestrianstatue.org/albert-i-2/,,"Deckers, Edward",1930,Belgium,Antwerp,,False,2
26,"Albert, Prince consort",https://equestrianstatue.org/albert-prince-consort-5/,,"Thornycroft, Thomas",1866,UK,Liverpool,,False,2
30,"Albert, Prince consort",https://equestrianstatue.org/albert-prince-consort-8/,,"Thornycroft, Thomas",1866,UK,Wolverhampton,,False,2
72,"Arambula, Jose Doroteo Arango",https://equestrianstatue.org/arambula-jose-doroteo-arango/,,"Martinez, Julian",1981,US,AZ Tucson,,False,2
93,"Asen I, Ivan",https://equestrianstatue.org/asen-i-ivan/,,"Damianov, Krum",1985,Bulgaria,Veliko Tarnovo,,False,2
103,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/atat-rk-mustafa-kemal-6/,,"Gezer, Hüseyin",1964,Turkey,Antalya,,False,2
111,Attariwala Sham Singh,https://equestrianstatue.org/attariwala-sham-singh/,,Unknown,2010,India,"Amritsar, Punjab",,False,2
119,"Bagration, Pyotr",https://equestrianstatue.org/bagration-pyotr/,,"Merabishvili, Merab",1999,Russia,Moscow,,False,2
165,"Bogenbay, Baghatur",https://equestrianstatue.org/bogenbay-baghatur/,,"Tokhtar, Ermekov",2007,Kazakhstan,Astana,,False,2
173,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-10/,,"Tadolini, Adamo",1859,Peru,Lima,,False,2
174,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-13/,,Unknown,,Venezuela,Merida,,False,2
181,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-21/,,"Farnham, Sally James",1921,US,NY New York City,,False,2
182,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-22/,,"Tadolini, Adamo",,Aruba,Oranjestad,"Lima, Peru",False,2
195,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-37/,,"Tadolini, Adamo",1874,Venezuela,Caracas,"Lima, Peru",False,2
199,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-41/,,"Tadolini, Adamo",,Venezuela,Maracay,"Lima, Peru",False,2
153,"Berenguer lll, Ramon",https://equestrianstatue.org/berenguer-lll-ramon/,,"Llimona, Josep",1888,Spain,Barcelona,,False,1
197,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-39/,,"Tadolini, Adamo",,Venezuela,Los Teques,"Lima, Peru",False,1
7,"Agrippa, Marcus Vipsanius",https://equestrianstatue.org/agrippa-marcus-vipsanius-2/,,"Zancada, Eduardo",2007,Spain,Merida,,False,1
124,"Ballivián, José",https://equestrianstatue.org/ballivi-n-jos/,,Unknown,,Bolivia,Trinidad,,False,1
123,"Balbus junior and senior, Marcus Nonius",https://equestrianstatue.org/balbus-marcus-nonius-junior-senio/,,Unknown,62 - 79,Italy,Naples,,False,1
121,"Bahadur, Scindia Alijah",https://equestrianstatue.org/bahadur-scindia-alijah/,,Unknown,1940,India,"Gwalior, Madya Pradesh",,False,1
113,Aung San,https://equestrianstatue.org/aung-san/,,Unknown,,Myanmar,Pyay,,False,1
58,"Alp, Arslan",https://equestrianstatue.org/alp-arslan/,,Unknown,,Turkey,Manzikert,,False,1
52,Alfonso VIII,https://equestrianstatue.org/alfonso-viii/,,"Olivares, Estanislao Garcia",1995,Spain,Plasencia,,False,1
37,Alexander I of Yugoslavia,https://equestrianstatue.org/alexandre-i-de-yugoslavia/,,"Sarte, Maxime Real del",1936,France,Paris,,False,1
107,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/atat-rk-mustafa-kemal-12/,,"Krippel, Heinrich",1931,Turkey,Samsun,,False,1
28,"Albert, Prince consort",https://equestrianstatue.org/albert-prince-consort-7/,,"Boehm, Joseph Edgar",1887,UK,Windsor,,False,1
164,Bogdan the first,https://equestrianstatue.org/bogdan-the-first/,,"Butunoiu, Marius",1985,Romania,Radauti,,False,1
25,"Albert, Prince consort",https://equestrianstatue.org/albert-prince-consort-4/,,"Marochetti, Carlo",1866,UK,Glasgow,,False,1
24,"Albert, Prince consort",https://equestrianstatue.org/albert-prince-consort-3/,,"Steell, John",1876,UK,Edinburgh,,False,1
150,"Belgrano, Manuel",https://equestrianstatue.org/belgrano-manuel-2/,,Unknown,,Argentina,Jujuy,,False,1
186,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-26/,,"Tommasi, Leone",1953,Colombia,Santa Marta,,False,1
146,"Beauregard, Pierre Gustave Toutant",https://equestrianstatue.org/beauregard/,,"Doyle, Alexander",1915,US,LA New Orleans,,False,1
144,Baudoin de Constantinople,https://equestrianstatue.org/baudoin-de-constantinople/,,"Jaquet, Joseph",1868,Belgium,Mons,,False,1
131,"Barrios, Justo Rufino",https://equestrianstatue.org/barrios-justo-rufino/,,"Froli, Adriatico",1897,Guatemala,Guatemala City,,False,1
194,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-36/,,Unknown,,Venezuela,Cagua,,False,1
196,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-38/,,"Tadolini, Adamo",,Venezuela,Guanare,"Lima, Peru",False,1
151,"Benalcázar, Sebastián de",https://equestrianstatue.org/benalc-zar-sebasti-n-de/,,"Macho, Victorio",1937,Colombia,Popayan,,False,0
70,"Anza, Juan Bautista de",https://equestrianstatue.org/anza-juan-bautista-de/,,"Martinez, Julian",1967,US,CA San Francisco,,False,0
149,"Belgrano, Manuel",https://equestrianstatue.org/belgrano-manuel/,,"Carrier-Belleuse, Albert-Ernest",1873,Argentina,Buenos Aires,,False,0
156,"Bidwell, Daniel Davidson",https://equestrianstatue.org/bidwell-daniel-davidson/,,"Swarz, Sahl",1952,US,NY Buffalo ,,False,0
27,"Albert, Prince consort",https://equestrianstatue.org/albert-prince-consort-6/,,"Bacon, Charles",1873,UK,London,,False,0
118,"Baghramian, Hovhannes",https://equestrianstatue.org/baghramian-hovhannes/,,"Karaganyan, Norayr",2003,Armenia,Yerevan,,False,0
133,Basava,https://equestrianstatue.org/basava-2/,,"Sarang, Sham",1994,India,"Bangalore, Karnataka",,False,0
39,Alexander III,https://equestrianstatue.org/alexander-iii/,,"Trubetzkoy, Paolo",1909,Russia,Saint Petersburg,,False,0
92,"Asbury, Francis",https://equestrianstatue.org/asbury-francis-3/,,"Lukeman, Henry  Augustus",1921,US,Washington D.C.,,False,0
91,"Asbury, Francis",https://equestrianstatue.org/asbury-francis/,,"Lukeman, Henry  Augustus",1924,US,NJ Madison ,,False,0
12,Akiyama Yoshifuru,https://equestrianstatue.org/akiyama-yoshifuru/,,Unknown,,Japan,Matsuyama,,False,0
89,"Artigas, José Gervasio",https://equestrianstatue.org/artigas-jos-gervasio-2/,,"Zanelli, Angelo",1923,Uruguay,Montevideo,,False,0
129,"Barrios, Gerardo",https://equestrianstatue.org/barrios-gerardo/,,Antonio and Carlos Ezeta,1909,El Salvador,San Salvador,,False,0
88,"Artigas, José Gervasio",https://equestrianstatue.org/artigas-jos-gervasio/,,"Belloni, Stelio",1974,Uruguay,Minas,,False,0
